2574,75967,4,23,,,,
15508,73930,27,154,,,,
2576,75970,2,9,,,,
2577,75970,4,23,,,,
27251,75909,8,37,,,,
11432,71169,5,17,,,,
27252,75909,16,65,,,,
27253,75909,16,66,,,,
27254,75952,8,37,,,,
37315,75512,16,65,365,,,
2585,76094,2,9,,,,
2586,76094,4,23,,,,
2588,76120,2,9,,,,
2589,76120,4,23,,,,
39023,245,12,177,,,,
27255,75952,16,65,,,,
15512,74854,27,154,,,,
2594,76170,2,9,,,,
2595,76170,4,23,,,,
2597,76190,2,9,,,,
2598,76190,4,23,,,,
13521,76832,31,175,,,,
15516,74982,27,154,,,,
2603,76235,2,9,,,,
2604,76235,4,23,,,,
2606,76255,2,9,,,,
2607,76255,4,23,,,,
6847,47,10,55,,,,
2609,76292,2,9,,,,
2610,76292,4,23,,,,
27256,75952,16,66,,,,
27257,75974,8,37,,,,
27258,75974,16,65,,,,
27259,75974,16,66,,,,
6853,76611,10,55,,,,
2621,76533,4,23,,,,
2623,76539,4,23,,,,
3685,75371,7,32,,,,
3686,75371,7,33,,,,
2629,76748,4,23,,,,
3687,75371,7,34,,,,
27263,76136,8,37,,,,
27264,76136,16,65,,,,
27265,76136,16,66,,,,
3693,75371,8,43,,,,
27266,76145,8,37,,,,
27267,76145,16,65,,,,
27268,76145,16,66,,,,
27269,76146,8,37,,,,
11003,75119,5,15,,,,
11004,75119,5,16,,,,
11005,75119,6,24,,,,
11006,75119,6,25,,,,
27270,76146,16,65,,,,
27271,76146,16,66,,,,
58221,76345,32,184,,,,
13523,77086,31,175,,,,
58222,76345,32,186,,,,
58223,76345,34,274,,,,
3084,77047,5,15,,,,
27275,76187,8,37,,,,
27276,76187,16,65,,,,
3085,77047,5,16,,,,
27277,76187,16,66,,,,
3086,77047,6,24,,,,
27278,76204,8,36,,,,
6621,75371,8,42,,,,
3087,77047,6,25,,,,
9811,75780,7,32,,,,
2523,9,4,23,,,,
9812,75780,7,33,,,,
5881,75648,16,65,,,,
2527,11,2,9,,,,
9813,75780,7,34,,,,
2528,11,4,23,,,,
6622,75371,16,66,,,,
5884,75677,16,65,,,,
6623,75677,8,42,,,,
6624,75677,16,66,,,,
27283,76204,8,37,,,,
2534,15,4,23,,,,
11008,75119,5,17,,,,
58224,76345,34,204,,,,
27286,76300,8,37,,,,
27287,76300,16,65,,,,
39024,245,16,65,,,,
39026,247,12,177,,,,
51920,445,7,30,,,,
51921,445,12,61,,,,
51922,445,12,176,,,,
51933,134,1,4,,,,
51934,134,12,61,,,,
27288,76300,16,66,,,,
9928,75909,7,32,,,,
9929,75909,7,33,,,,
9930,75909,7,34,,,,
27289,76316,8,37,,,,
9932,75909,8,43,,,,
27290,76316,16,65,,,,
9934,75909,16,65,,,,
9935,75909,16,66,,,,
27291,76316,16,66,,,,
27292,76394,8,37,,,,
1985,11,4,13,,,,
12108,75974,9,48,,,,
27293,76394,16,65,,,,
27294,76394,16,66,,,,
13525,77200,31,175,,,,
6631,76570,8,42,,,,
27295,76408,8,37,,,,
6633,76626,8,42,,,,
27296,76408,16,65,,,,
